Card   1:  4 33 89 61 95 36  5 30 26 55 | 15 33 28 36 93 57 26 13 95  4 18 79  6 87 60 66 69 67 19 42 22 61 78  5 58
Card   2:  9 16 48 75 82 61 56 91  3 27 |  4 12 96 20 22 13  6 86 61 94 95 30  9 75 56 38 26 28  7 16 42 55  2 34  8
Card   3: 91 74 25 36 96 64 70 48 93 89 | 67 86 52 89 19 91 48 64 23 72  6 80 58 96 74 15 35 10 70 63 25 14 87 93 36
Card   4: 51  1 79 93 89 84 16 70 98 22 | 89 93 15 82 99 32 49 22 16  1 76 13 18 21 98 79 77 84 70 55 24 51 66 26 68
Card   5: 55 45 89 38 19 12 80 68 42 18 | 55 41 35 29 67 89 50 98 86 80 91 19 90 25 43 37 83 46 42 38 76 95 93 68 45
Card   6: 67 71 31 80  6  4 37 44 48 51 | 46 52 88 65 31 87 69 34 30 15 37 47 20 16 13 42 18 56 73 53 27 89 95 14 77
Card   7: 19 71 16 57 88 79 18 58 73 83 | 84 61 99 94 17 96 39 90 63 69 66 80 55 60 41 74 95 13 28 32  4 59  5  3  6
Card   8: 92 62 75 14 19 12 64 23 70 93 | 81 33 16 23 68 96 79 57 59 78 38 56 93 70 35 63 51 71 90 86 91 64 54 34  1
Card   9: 55 28 87 48 85 56 31 32 25 52 | 43 19 52 96 56 85 26 38 28 60 95  1 15  3 13 71 93 76  4 83 48  9 37 88 80
Card  10: 70 13 57 30 27 31 12 29 82 38 | 28 44 43 82 71 15 14 74 38 72 26 83 29 96 30 77 66 27 51  9 84 68 57 64 32
Card  11: 15 86 34 17 26 87 64 20 38 67 | 64 97 20 56 72 87 80 90 95 58 25 89 30 82 59 27 62 29  1 76 94 74 52 67 92
Card  12: 55 49 59 54 51 15 36 45 74 82 | 63 74 76  3 51 75 87 31 27 64 79 58 59 80 62 85 56  4 66 91 96 82 22 81 46
Card  13: 96 79 26 30 28 58 85 44 71 11 | 79 81  5 42 53 36 29 82 34 32 73 26 72 24 78 85  2 93 28 12 45 35 68 37 43
Card  14: 50  6 10 49 99 14 95 32 56 66 | 93  7 13 77 52 78 73 36 33 56 66 95 11 98 34 25 32 48 44 65 49 71  6 35 31
Card  15: 44 56 18 91  8  7 98 79 96 76 | 74 83 81 46 96 38  9 51 77 72 82 68 76 57 48 90  3 62 56 91 21 28 22 10 37
Card  16: 32 87 62 33 15 31 40  3  9 85 | 88 48 42 47 84 94 37 70 90 56 19 24  8  7 25 45 27 71 81 57 65 52 36 66 58
Card  17: 44 35 75 95 87 64 15 21 54 82 | 18 56 25  5 15 51 47 39  8  1 30 98 58 96 32 87 12 55 63 86 89 84 69  7 95
Card  18: 21 79 12 27 69 88 75 34 66  2 | 48 26 57 60 20 29 96 22 64 73 30 38 44 94 46 55  9 91 78 84 89 10 93 53  6
